Damage level s [%];Damage depth d [mm];Distance D [mm];Freq 1    f1 [Hz];Freq 2    f2 [Hz];Freq 3    f3 [Hz];Freq 4    f4 [Hz];Freq 5    f5 [Hz];Freq 6    f6 [Hz];Freq 7    f7 [Hz];Freq 8    f8 [Hz];Freq 9    f9 [Hz];Freq 10    f10 [Hz]
25;1,25;502;4,08568593;25,50773915;71,75609754;139,9963181;232,5243049;345,9055249;485,4586393;643,7172637;830,7862618;1033,577316
25;1,25;504;4,08575709;25,50740603;71,75575463;139,9972283;232,5226109;345,9102366;485,4488031;643,7363168;830,757435;1033,619338
25;1,25;512;4,08604047;25,50616969;71,75187435;140,0072997;232,4980596;345,9637794;485,3427424;643,919276;830,4521318;1034,085971
25;1,25;520;4,08634474;25,50542364;71,74609811;140,0273014;232,4502401;346,074803;485,1392205;644,281865;829,8823707;1034,960048
25;1,25;527;4,08654956;25,50477986;71,73793032;140,0503822;232,405024;346,2052861;484,8873172;644,6930128;829,2372312;1035,884337
25;1,25;535;4,08680995;25,50453649;71,72718677;140,0851502;232,2977288;346,3599699;484,5558296;645,2231053;828,4702629;1036,927617
25;1,25;543;4,08706098;25,50456764;71,71392691;140,1270861;232,1938138;346,5973386;484,2075579;645,7455801;827,7861477;1037,725639
25;1,25;548;4,08721471;25,50483917;71,70453473;140,1562088;232,1238381;346,7386603;483,9998583;646,0319619;827,4583103;1038,018466
25;1,25;553;4,08736435;25,50524057;71,69435689;140,1878399;232,0504569;346,8660333;483,8018448;646,2697073;827,2372635;1038,11784
25;1,25;559;4,08754093;25,5058179;71,68166431;140,227275;231,9632506;347,0180802;483,6014403;646,4731575;827,1383854;1037,973856
25;1,25;565;4,08771428;25,50641408;71,66777323;140,268344;231,8768114;347,1555707;483,4471848;646,5681991;827,2139778;1037,552922
25;1,25;569;4,08782703;25,50707646;71,65780696;140,2966651;231,8206408;347,2363718;483,3746588;646,5684068;827,3733554;1037,152336
25;1,25;577;4,08804839;25,50845802;71,63753042;140,3527602;231,716782;347,3635811;483,3102734;646,4218393;827,8929801;1036,158925
25;1,25;587;4,08831178;25,5106995;71,6106203;140,4210991;231,6082646;347,4500556;483,3894008;645,987503;828,7970255;1034,845925
25;1,25;590;4,08839033;25,51139885;71,60206915;140,4405029;231,5812408;347,4572647;483,4468477;645,8150204;829,0931177;1034,497863
25;1,25;591;4,08841415;25,51174686;71,5993475;140,4470219;231,5725084;347,4576478;483,4655482;645,7523074;829,1874528;1034,387241
25;1,25;595;4,08851508;25,51270767;71,58851899;140,4719114;231,5441025;347,4522971;483,5710335;645,5059606;829,569262;1034,022011
25;1,25;600;4,08864158;25,51403738;71,57401487;140,5015732;231,515666;347,425043;483,7337179;645,1744071;830,0056407;1033,704273
25;1,25;603;4,088712764;25,51513974;71,56533941;140,5181643;231,5027721;347,3959662;483,8378781;644,9710346;830,2290099;1033,589211
25;1,25;605;4,08876304;25,51551858;71,56000285;140,5288701;231,497359;347,3753491;483,921563;644,8390405;830,3652885;1033,573963
25;1,25;606;4,0887872;25,51607078;71,55683159;140,5339103;231,4940007;347,3607068;483,9561329;644,7736397;830,4239924;1033,557609
25;1,25;611;4,08890404;25,51758953;71,54288043;140,5580438;231,4872566;347,2869451;484,1694538;644,4616565;830,6637899;1033,672694
25;1,25;618;4,08906843;25,51994087;71,52335781;140,5862323;231,496911;347,1536087;484,4794493;644,0942273;830,7934308;1034,148685
25;1,25;624;4,08920413;25,52210877;71,50701195;140,6055149;231,5202053;347,0179007;484,7365191;643,86604;830,700019;1034,795138
25;1,25;630;4,0893331;25,52447035;71,49084436;140,6191145;231,5563761;346,8676328;484,9751393;643,734258;830,4291544;1035,568272
25;1,25;636;4,08946301;25,52682131;71,47574167;140,6279269;231,6082038;346,7088751;485,1763615;643,7204663;830,017844;1036,390618
25;1,25;642;4,08958571;25,52956422;71,46078291;140,6306664;231,6690669;346,5494022;485,3309843;643,8113811;829,4869916;1037,11871
25;1,25;644;4,08962877;25,53026056;71,45642562;140,6301306;231,6933488;346,4963643;485,3708429;643,872795;829,31026;1037,350165
25;1,25;654;4,08982596;25,53484671;71,43393469;140,6189463;231,8207686;346,2564551;485,464036;644,3014849;828,3462757;1038,041231
25;1,25;658;4,08990373;25,53667411;71,42583946;140,6100073;231,8771748;346,1727435;485,4514368;644,53442;827,998681;1038,112402
25;1,25;667;4,09007238;25,54087975;71,40937835;140,5811553;232,0091463;346,0220383;485,3214415;645,1245214;827,3936047;1037,806157
25;1,25;674;4,09020126;25,54425025;71,39842076;140,5507971;232,1125084;345,9480331;485,1329605;645,5926888;827,1593027;1037,177796
25;1,25;676;4,09023557;25,54522193;71,39559706;140,5409663;232,1414253;345,9346223;485,0674446;645,7193887;827,1369401;1036,951432
25;1,25;682;4,09034128;25,54816341;71,38798697;140,5086217;232,2251995;345,916056;484,8462183;646,0637532;827,1936756;1036,194248
25;1,25;690;4,09047752;25,55213386;71,37991596;140,4595713;232,3265447;345,9426811;484,5126041;646,4026946;827,5463606;1035,135417
25;1,25;692;4,0905124;25,5531333;71,378279;140,4463923;232,3494585;345,9584021;484,4259179;646,460629;827,6784537;1034,886102
25;1,25;699;4,09062812;25,55663376;71,37373276;140,3979315;232,4202308;346,040229;484,1249818;646,5676376;828,2460596;1034,138235
25;1,25;703;4,09069058;25,55864677;71,37201793;140,3688464;232,4533928;346,1047181;483,9610531;646,5594286;828,6226229;1033,831729
25;1,25;710;4,09080073;25,56218473;71,37059173;140,3162488;232,4969983;346,2444237;483,7037467;646,4253986;829,310402;1033,570578
25;1,25;717;4,09090725;25,56569198;71,37099903;140,262543;232,5206431;346,4100909;483,5016336;646,1554288;829,9473012;1033,695234
25;1,25;721;4,09096684;25,56769576;71,37212412;140,2317447;232,5247993;346,5132209;483,4172903;645,9508341;830,2540774;1033,93723
25;1,25;723;4,0909951;25,56869486;71,37291942;140,2164056;232,5242799;346,566238;483,3846364;645,8376999;830,3856165;1034,100482
25;1,25;731;4,09111099;25,57266584;71,37762688;140,1560535;232,5049255;346,7818833;483,3222998;645,3367114;830,7334749;1034,978718
25;1,25;735;4,09116848;25,57463286;71,38087652;140,126834;232,4850764;346,8881159;483,3336271;645,072495;830,7879129;1035,508055
25;1,25;738;4,0912099;25,5761114;71,38377358;140,1055235;232,4658263;346,9656708;483,3612727;644,8753264;830,7737276;1035,921581
25;1,25;745;4,09130508;25,57948179;71,39149925;140,0581277;232,4076716;347,1322371;483,484021;644,4440908;830,5648908;1036,847784
25;1,25;753;4,09141192;25,58327598;71,40242007;139,9892618;232,3202831;347,2896332;483,7164525;644,0442346;830,0635919;1037,679734
25;1,25;761;4,09151705;25,58698089;71,41531134;139,9667467;232,2145768;347,3995018;484,0231965;643,7967053;829,3725587;1038,088451
25;1,25;763;4,09154236;25,58789158;71,41881952;139,9573297;232,1858429;347,4184151;484,1077884;643,7633579;829,1840968;1038,111942
25;1,25;770;4,09163071;25,59104004;71,43202647;139,928527;232,07975;347,4554661;484,4166546;643,7449704;828,5201475;1037,941024
25;1,25;772;4,09165328;25,59192029;71,43599361;139,9214692;232,048267;347,4574812;484,5056026;643,7678799;828,3381897;1037,823879
25;1,25;774;4,09167852;25,59279396;71,44005293;139,9149662;232,0164131;347,4556491;484,5938194;643,8032169;828,1632642;1037,679258
25;1,25;780;4,09175151;25,59537035;71,45274596;139,8988762;231,9195231;347,427202;484,8479364;643,9806277;827,6993911;1037,103996
25;1,25;783;4,0917884;25,5966221;71,45925257;139,8926175;231,8709119;347,4004738;484,9648594;644,1052673;827,5121553;1036,755485
25;1,25;786;4,09182385;25,59787867;71,46613227;139,8880636;231,8225346;347,3653502;485,0739257;644,2539044;827,3616093;1036,377164
25;1,25;794;4,09191736;25,60111197;71,48487677;139,8820545;231,6972184;347,2353109;485,3072136;644,7296288;827,1656532;1035,328403
25;1,25;800;4,09198555;25,60345121;71,49946749;139,8838843;231,6092256;347,1070715;485,4169088;645,1324332;827,2319392;1034,605202
25;1,25;804;4,09203057;25,60496884;71,5093877;139,8880879;231,5546217;347,0096382;485,4548058;645,4044809;827,3774198;1034,203035
